,uid,method,ndim,t
0,4,PL,1,5.2645392417907715
1,4,OPT-LOC-DP,1,26.196961164474487
2,4,OPT-SEM-IND,1,7.1674487590789795
3,4,USS,1,2.0111687183380127
4,4,ESSA,1,1.5957424640655518
5,4,PL,3,5.210249423980713
6,4,OPT-LOC-DP,3,25.91757607460022
7,4,OPT-SEM-IND,3,24.016865968704224
8,4,USS,3,8.43260931968689
9,4,ESSA,3,3.8467860221862793
10,4,PL,5,5.798142910003662
11,4,OPT-LOC-DP,5,27.41116714477539
12,4,OPT-SEM-IND,5,32.3276629447937
13,4,USS,5,15.45391321182251
14,4,ESSA,5,4.173880577087402
15,4,PL,7,4.98823356628418
16,4,OPT-LOC-DP,7,26.573245525360107
17,4,OPT-SEM-IND,7,57.27045392990112
18,4,USS,7,20.055602550506592
19,4,ESSA,7,6.596727609634399
20,4,PL,9,5.107596158981323
21,4,OPT-LOC-DP,9,26.17551016807556
22,4,OPT-SEM-IND,9,102.61760020256042
23,4,USS,9,26.917011499404907
24,4,ESSA,9,10.62775206565857
