,uid,method,x_size,t
0,4,PL,100,0.02020859718322754
1,4,OPT-LOC-DP,100,1.2957429885864258
2,4,OPT-SEM-IND,100,0.41721630096435547
3,4,USS,100,0.09669899940490723
4,4,ESSA,100,0.060164690017700195
5,4,PL,200,0.07436299324035645
6,4,OPT-LOC-DP,200,3.839068651199341
7,4,OPT-SEM-IND,200,0.7940237522125244
8,4,USS,200,0.14061856269836426
9,4,ESSA,200,0.09885406494140625
10,4,PL,300,0.1284494400024414
11,4,OPT-LOC-DP,300,7.341815710067749
12,4,OPT-SEM-IND,300,1.5671494007110596
13,4,USS,300,0.11534619331359863
14,4,ESSA,300,0.13214826583862305
15,4,PL,400,0.3191971778869629
16,4,OPT-LOC-DP,400,12.89671516418457
17,4,OPT-SEM-IND,400,2.7014901638031006
18,4,USS,400,0.15187811851501465
19,4,ESSA,400,0.1900331974029541
20,4,PL,500,0.5015139579772949
21,4,OPT-LOC-DP,500,20.940454959869385
22,4,OPT-SEM-IND,500,4.247185945510864
23,4,USS,500,0.2620820999145508
24,4,ESSA,500,0.23255658149719238
