,uid,method,epsilon,mean_ql,kl_div,max_div
0,22,PL,0.1,2.3384079846292196,0.12623048206650003,3.918830918008486
1,22,OPT-GEO-IND,0.1,0.765551983811489,0.0,0.0
2,22,PL,0.30000000000000004,2.167554018706403,0.13352905112807825,2.0672609099322266
3,22,OPT-GEO-IND,0.30000000000000004,0.765551983811489,0.0,0.0
4,22,PL,0.5000000000000001,1.9505265851276623,0.1432209918717938,1.7748594543476333
5,22,OPT-GEO-IND,0.5000000000000001,0.7606991430922816,0.12453892915793295,0.49825470128083804
6,22,PL,0.7000000000000001,1.7400727584052724,0.15346459868733991,1.7991708090483238
7,22,OPT-GEO-IND,0.7000000000000001,0.711760024133442,0.24666401554214518,1.3191531118900863
8,22,PL,0.9000000000000001,1.5519932106205714,0.1640348995060783,2.0684992241415037
9,22,OPT-GEO-IND,0.9000000000000001,0.6444801541338984,0.4069949677947552,1.0853873018596765
10,22,PL,1.1000000000000003,1.389649848182541,0.17586076596984837,2.9408644794528045
11,22,OPT-GEO-IND,1.1000000000000003,0.5578691992132488,0.5390171794955959,1.6412583351881145
12,22,PL,1.3000000000000003,1.2516784702916375,0.18921017963436212,3.2734960192259863
13,22,OPT-GEO-IND,1.3000000000000003,0.48060182625104764,0.7113032499865402,1.539134248713221
14,22,PL,1.5000000000000004,1.134202064861171,0.20382802063356537,3.5335577966378118
15,22,OPT-GEO-IND,1.5000000000000004,0.4174216283696557,0.8392137820612084,1.6742317558663125
16,22,PL,1.7000000000000004,1.0342299964734214,0.22057118470055015,3.88214497146034
17,22,OPT-GEO-IND,1.7000000000000004,0.3667364409521848,1.0412003614531782,2.561985661899439
18,22,PL,1.9000000000000004,0.9488186264475857,0.24084800654808108,4.583695631369441
19,22,OPT-GEO-IND,1.9000000000000004,0.32714341810121456,1.1795064249530076,2.136404206173001
