st,name,count
0,停车场,1311
1,地铁站,43
2,火车站,1
3,交通服务相关,3
4,报刊亭,111
5,公用电话,238
6,公共厕所,93
7,紧急避难场所,11
8,家电电子卖场,126
9,专卖店,467
10,便民商店/便利店,256
11,花鸟鱼虫市场,12
12,超级市场,51
13,综合市场,56
14,特殊买卖场所,20
15,服装鞋帽皮具店,231
16,体育用品店,38
17,家居建材市场,181
18,文化用品店,19
19,商场,32
20,特色商业街,6
21,个人用品/化妆品店,21
22,购物相关场所,31
23,汽车租赁,15
24,洗车场,5
25,汽车服务相关,7
26,加油站,6
27,汽车养护/装饰,8
28,二手车交易,1
29,汽车配件销售,2
30,汽车俱乐部,2
31,摩托车维修,1
32,学校,505
33,图书馆,28
34,科研机构,295
35,培训机构,252
36,会展中心,15
37,科教文化场所,68
38,传媒机构,119
39,博物馆,7
40,展览馆,6
41,档案馆,4
42,文艺团体,7
43,文化宫,5
44,科技馆,1
45,美术馆,1
46,交通地名,145
47,普通地名,8
48,公司,4125
49,知名企业,5
50,工厂,9
51,公司企业,1
52,社会团体,250
53,公检法机构,98
54,政府机关,303
55,工商税务机构,24
56,交通车辆管理,4
57,民主党派,1
58,外国机构,2
59,宾馆酒店,220
60,旅馆招待所,57
61,休闲餐饮场所,13
62,快餐厅,112
63,中餐厅,1012
64,餐饮相关场所,71
65,外国餐厅,74
66,咖啡厅,100
67,茶艺馆,46
68,糕饼店,73
69,冷饮店,46
70,甜品店,3
71,运动场馆,142
72,娱乐场所,149
73,体育休闲服务场所,4
74,影剧院,13
75,休闲场所,17
76,金融保险服务机构,91
77,保险公司,21
78,银行,182
79,自动提款机,279
80,证券公司,30
81,银行相关,2
82,汽车销售,5
83,大众特约销售,2
84,现代特约销售,2
85,路虎特约销售,1
86,日产特约销售,1
87,标致雪铁龙特约销售,1
88,住宅区,830
89,楼宇,518
90,产业园区,10
91,美容美发店,327
92,洗衣店,76
93,生活服务场所,324
94,事务所,138
95,邮局,41
96,维修站点,64
97,售票处,101
98,电讯营业厅,31
99,彩票彩券销售点,70
100,物流速递,57
101,中介机构,175
102,摄影冲印店,63
103,人才市场,23
104,洗浴推拿场所,59
105,旅行社,44
106,信息咨询中心,6
107,搬家公司,3
108,电力营业厅,1
109,自来水营业厅,1
110,公园广场,24
111,风景名胜,17
112,诊所,64
113,医疗保健服务场所,47
114,医药保健销售店,124
115,综合医院,45
116,动物医疗场所,8
117,专科医院,12
118,急救中心,2
119,疾病预防机构,2
120,汽车综合维修,12
121,现代特约维修,2
122,汽车维修,20
123,大众特约维修,2
124,标致雪铁龙特约维修,1
125,日产特约维修,1
